Periood,temp,humidity,precip,windspeed,cloudcover
2023-01-01  00:00:00,6,93.31,0,22.3,89.6
2023-01-01  00:00:00,6,93.31,0,22.3,89.7
2023-01-01  00:00:00,6,93.31,0,22.3,89.8
2023-01-01  00:00:00,6,93.31,0,22.3,89.9
2023-01-01  00:00:00,6,93.31,0,22.3,89.10
2023-01-01  05:00:00,3,93.23,0,16.5,29.5
2023-01-01  06:00:00,3,93.2,0,11.2,86.8
2023-01-01  07:00:00,2,99.95,0,11.1,90
2023-01-01  08:00:00,2,93.15,0,11.1,1.3
2023-01-01  09:00:00,1.1,99.86,0,7.6,29.6
2023-01-01  10:00:00,1.1,99.85,0,5.4,1.4
2023-01-01  11:00:00,1.1,92.97,0,3.7,100
2023-01-01  12:00:00,1.1,99.77,0,3.6,100
2023-01-01  13:00:00,1,93.02,0,7.6,50.9
2023-01-01  14:00:00,2,80.64,0,7.6,90
2023-01-01  15:00:00,2,86.45,0,9.4,29.3
2023-01-01  16:00:00,1,80.49,0,3.7,56.1
2023-01-01  17:00:00,1,80.35,0,3.7,28.9
2023-01-01  18:00:00,1,80.46,0,9.3,63.9
2023-01-01  19:00:00,-1.9,92.63,0,7.6,90
2023-01-01  20:00:00,-1.9,92.62,0,11.1,90
2023-01-01  21:00:00,0,80.33,0,16.4,28.8
2023-01-01  22:00:00,0,80.36,0,14.7,28.6
2023-01-01  23:00:00,0,80.35,0,12.9,28.6
2023-01-02  00:00:00,0,80.34,0,16.4,28.6
2023-01-02  01:00:00,0,80.34,0,20.3,49.4
2023-01-02  02:00:00,0,80.36,0,18.2,49.4
2023-01-02  03:00:00,-1,86.28,0,14.7,0
2023-01-02  04:00:00,-1.9,86.21,0,16.5,0
2023-01-02  05:00:00,-1.9,92.72,0,13,19.3
2023-01-02  06:00:00,-2.9,92.67,0,12.9,69.6
2023-01-02  07:00:00,-2.9,92.67,0,7.6,40.7
2023-01-02  08:00:00,-3,92.86,0,7.5,0
2023-01-02  09:00:00,-3,92.84,0,9.2,12.9
2023-01-02  10:00:00,-3,92.78,0,3.7,25.7
2023-01-02  11:00:00,-3,92.77,0,5.5,59.3
2023-01-02  12:00:00,-2.9,92.71,0,3.7,69.6
2023-01-02  13:00:00,-2,86.18,0,5.5,90
2023-01-02  14:00:00,-1.9,86.03,0,7.7,90
2023-01-02  15:00:00,-2,92.87,0,11.2,100
2023-01-02  16:00:00,-0.9,86.33,0.001,11.2,93.2
