Periood,temp,humidity,precip,windspeed,cloudcover
2023-07-01 00:00:00,19,68.8,0,11,0
2023-07-01 01:00:00,19,88.42,0,11,0
2023-07-01 02:00:00,18,88.35,0,7.5,28.6
2023-07-01 03:00:00,18,94.01,0,7.5,49.3
2023-07-01 04:00:00,17,99.97,0,7.5,50.1
2023-07-01 05:00:00,18,94.02,0,11,99.5
2023-07-01 06:00:00,17,99.98,0.032,11,89.6
2023-07-01 07:00:00,18,93.98,0.014,11.1,99.9
2023-07-01 08:00:00,19,88.34,0.125,11.1,50.6
2023-07-01 09:00:00,19,88.29,0,14.7,89.6
2023-07-01 10:00:00,19,88.25,0,16.7,89.6
2023-07-01 11:00:00,19,82.87,0.966,29.3,89.6
2023-07-01 12:00:00,18,82.49,0.012,33.1,89.5
2023-07-01 13:00:00,19,72.66,0,38.5,89.4
2023-07-01 14:00:00,19,68.12,0,33.3,89.1
2023-07-01 15:00:00,22,49.94,0,35,88.7
2023-07-01 16:00:00,21,49.73,0,40.3,88.9
2023-07-01 17:00:00,21,53.06,0,33.2,49.7
2023-07-01 18:00:00,21,60.4,0,40.3,28.9
2023-07-01 19:00:00,20,60.22,0,35.1,49.6
2023-07-01 20:00:00,19,63.96,0,36.8,49.7
2023-07-01 21:00:00,19,64.02,0,35,50.2
2023-07-01 22:00:00,19,64.06,0,31.5,89.2
2023-07-01 23:00:00,18,68.18,0,22.3,50.3
2023-07-02 00:00:00,17,77.34,0,20.5,28.9
2023-07-02 01:00:00,16,82.38,0,18.4,48.2
2023-07-02 02:00:00,16,82.49,0.005,18.4,54.7
2023-07-02 03:00:00,15.1,87.83,0,22.2,73
2023-07-02 04:00:00,15,87.88,0,18.3,56.9
2023-07-02 05:00:00,15.1,87.86,0.001,16.6,90
2023-07-02 06:00:00,15,87.89,0,16.4,90
2023-07-02 07:00:00,16,82.55,0,20.2,90
2023-07-02 08:00:00,17,82.61,0.001,16.3,29.8
2023-07-02 09:00:00,18,77.66,0.003,16.4,89.6
2023-07-02 10:00:00,16.1,93.62,0.483,12.9,89.6
2023-07-02 11:00:00,17,93.78,0.01,14.7,89.7
2023-07-02 12:00:00,17,88.17,0.027,20.3,89.6
2023-07-02 13:00:00,17,88.16,0.045,20.3,89.6
2023-07-02 14:00:00,17,88.18,0.293,16.4,99.9
2023-07-02 15:00:00,17.1,93.81,0.153,14.6,89.6
2023-07-02 16:00:00,18,93.88,12.302,11.2,89.5
2023-07-02 17:00:00,17,88.11,0.018,3.8,89.6
2023-07-02 18:00:00,18,88.2,0.022,14.6,89.3
2023-07-02 19:00:00,19,83,2.939,14.6,89.6
2023-07-02 20:00:00,18,88.22,0.032,11.1,50.6
2023-07-02 21:00:00,16,93.68,0.008,16.4,50.4
2023-07-02 22:00:00,15.1,93.69,6.762,14.6,88.8
2023-07-02 23:00:00,15,87.93,0,7.7,88.7
2023-07-03 00:00:00,15,93.64,0,11.1,89.1
2023-07-03 01:00:00,15,87.88,0.394,16.6,50.6
2023-07-03 02:00:00,14,87.82,0.001,20.3,29.9
2023-07-03 03:00:00,13,87.75,0,20.3,92.5
2023-07-03 04:00:00,13,87.83,0.02,20.3,29.2
2023-07-03 05:00:00,13,87.58,0.015,20.6,89.2
2023-07-03 06:00:00,13.1,93.48,0.29,18.5,50.5
2023-07-03 07:00:00,13.1,93.41,0.057,20.7,50.6
2023-07-03 08:00:00,15,82.54,0.063,27.4,50.1
2023-07-03 09:00:00,15,87.75,0.892,25.9,89.6
2023-07-03 10:00:00,14.1,93.33,0.019,20.8,89.5
2023-07-03 11:00:00,16,87.57,4.932,26.1,50.5
2023-07-03 12:00:00,17,77.24,2.803,31.6,89.4
2023-07-03 13:00:00,14.1,87.19,0.029,29.6,89.3
2023-07-03 14:00:00,16,81.86,0.002,26.2,89.1
2023-07-03 15:00:00,17,72.08,2.898,26.2,49.7
2023-07-03 16:00:00,18,59.69,0,35.3,49.8
2023-07-03 17:00:00,16.1,67.47,0.008,33.5,89
2023-07-03 18:00:00,17,63.5,0.291,24.2,89.2
2023-07-03 19:00:00,15,76.95,0.147,17,89.2
2023-07-03 20:00:00,12.1,93.02,4.54,31.5,99.2
2023-07-03 21:00:00,13.1,87.43,0.009,18.4,50.6
2023-07-03 22:00:00,13.1,87.55,0.008,22.2,50.6
2023-07-03 23:00:00,13.1,87.41,0.098,25.8,89.6
2023-07-04 00:00:00,13.1,87.52,0,24.1,89.3
2023-07-04 01:00:00,13.1,87.5,0,24,29.5
2023-07-04 02:00:00,14,87.67,0.417,27.8,88.8
2023-07-04 03:00:00,13.1,93.24,0.005,24,29.5
2023-07-04 04:00:00,13.1,87.54,0,20.3,29.2
2023-07-04 05:00:00,13.1,87.62,0,20.3,49.6
2023-07-04 06:00:00,13.1,87.46,0.097,24,49.7
2023-07-04 07:00:00,13,93.65,0,24.1,89.6
2023-07-04 08:00:00,14.1,87.39,5.7,14.9,88.7
2023-07-04 09:00:00,13.1,81.65,0,26,50.2
2023-07-04 10:00:00,15.1,76.65,0,25.9,50.1
2023-07-04 11:00:00,17,67.61,0,38.6,50.3
2023-07-04 12:00:00,18,52.17,0,38.6,49.9
2023-07-04 13:00:00,18,52.01,0,36.9,89
2023-07-04 14:00:00,18,59.34,0,24.3,50.3
2023-07-04 15:00:00,18,49.09,0,33.1,50.6
2023-07-04 16:00:00,16.9,52.4,0.012,27.3,89.6
2023-07-04 17:00:00,14,72.21,0,23.7,50.6
2023-07-04 18:00:00,15,77.02,0,22.1,50.5
2023-07-04 19:00:00,16,67.82,0.008,25.6,89.2
2023-07-04 20:00:00,15,72.43,0.321,25.6,89.6
2023-07-04 21:00:00,15,77.23,0,16.5,89.5
2023-07-04 22:00:00,13.1,93.4,0.01,16.5,49.9
2023-07-04 23:00:00,13,87.59,0.676,20.3,88.7
2023-07-05 00:00:00,13,87.63,0,18.2,49.3
2023-07-05 01:00:00,12.1,93.5,0,14.7,49.3
2023-07-05 02:00:00,12,93.52,0,18.2,18.4
2023-07-05 03:00:00,12,93.56,0,20.3,39
2023-07-05 04:00:00,12,93.57,0,18.2,52.1
2023-07-05 05:00:00,12,93.55,0,16.4,39.3
2023-07-05 06:00:00,13,87.76,0,20.3,60.8
2023-07-05 07:00:00,14,87.76,0,20.3,89.4
2023-07-05 08:00:00,15,82.26,0,23.9,89
2023-07-05 09:00:00,16,77.21,0,24,89.5
2023-07-05 10:00:00,16,72.31,0,25.7,89.5
2023-07-05 11:00:00,17,68.03,0.003,29.3,50.6
2023-07-05 12:00:00,16,77.23,0.401,27.5,89.6
2023-07-05 13:00:00,16,82.33,0,33.3,89.6
2023-07-05 14:00:00,17,77.18,0.014,29.4,89.6
2023-07-05 15:00:00,17,72.34,0.003,25.9,89.6
2023-07-05 16:00:00,18,63.73,0,27.7,89.6
2023-07-05 17:00:00,19,56.18,0,31.5,89.3
2023-07-05 18:00:00,18,63.64,0,25.8,88.6
2023-07-05 19:00:00,18,63.74,0,20.6,89.3
2023-07-05 20:00:00,18,63.78,0,22.2,88.3
2023-07-05 21:00:00,17,67.75,0,18.3,49.3
2023-07-05 22:00:00,16,72.27,0,11.1,28.5
2023-07-05 23:00:00,15,77.14,0,9.2,0
2023-07-06 00:00:00,13,82.22,0,9.2,0
2023-07-06 01:00:00,12,87.7,0,11,0
2023-07-06 02:00:00,11,93.54,0,9.4,30
2023-07-06 03:00:00,11,93.6,0,1.9,33.3
2023-07-06 04:00:00,10,93.52,0,3.7,0
2023-07-06 05:00:00,10,93.37,0,3.7,22.2
2023-07-06 06:00:00,11.1,87.45,0,5.4,20.1
2023-07-06 07:00:00,13.1,81.79,0,9.4,36.7
2023-07-06 08:00:00,15,72.11,0,11.1,65.1
2023-07-06 09:00:00,16,72.17,0,12.8,72
2023-07-06 10:00:00,18,68.02,0,9.4,69.3
2023-07-06 11:00:00,19,68.3,0,14.6,76.2
2023-07-06 12:00:00,19,72.91,0.006,12.9,1.7
2023-07-06 13:00:00,18,77.6,0.485,12.8,1.7
2023-07-06 14:00:00,18,82.6,0.001,12.9,1.7
2023-07-06 15:00:00,18,82.56,0.007,11.1,89.6
2023-07-06 16:00:00,19,77.62,0,9.4,89.6
2023-07-06 17:00:00,20,72.93,0,18.4,88
2023-07-06 18:00:00,19,77.71,0.085,12.4,98.7
2023-07-06 19:00:00,20,77.82,0,11.1,89.3
2023-07-06 20:00:00,19,77.74,0,13,89.5
2023-07-06 21:00:00,19,77.77,0,9.4,50.4
2023-07-06 22:00:00,17,77.42,0,14.7,89.5
2023-07-06 23:00:00,17,77.42,0,9.4,89.2
2023-07-07 00:00:00,16,82.46,0,5.4,29.1
2023-07-07 01:00:00,13,99.6,0,5.4,28.9
2023-07-07 02:00:00,13,93.63,0,9.3,40.5
2023-07-07 03:00:00,13,93.7,0,7.5,2.3
2023-07-07 04:00:00,12,93.66,0,12.8,2.3
2023-07-07 05:00:00,11,93.63,0,0.2,0
2023-07-07 06:00:00,12,93.71,0,3.7,29.3
2023-07-07 07:00:00,13,93.72,0,7.6,29.6
2023-07-07 08:00:00,14,93.72,0,12.8,29.4
2023-07-07 09:00:00,15.1,87.81,0,14.6,50.7
2023-07-07 10:00:00,16,82.21,0,16.5,89
2023-07-07 11:00:00,18,72.53,0,13,89.3
2023-07-07 12:00:00,18,72.49,0,9.5,89.3
2023-07-07 13:00:00,18,68.04,0.002,9.6,89.3
2023-07-07 14:00:00,18,67.93,0,9.5,89.1
2023-07-07 15:00:00,15.1,93.08,2.901,18.2,88.9
2023-07-07 16:00:00,17,82.2,0.031,13,89
2023-07-07 17:00:00,17.1,77.03,0,13.1,89.4
2023-07-07 18:00:00,17.1,77.01,1.935,16.6,50.2
2023-07-07 19:00:00,19,68.2,0,13.1,89.3
2023-07-07 20:00:00,18,68.2,0,13.1,49.7
2023-07-07 21:00:00,17,72.56,0,18.3,50.3
2023-07-07 22:00:00,16,77.28,0,7.6,28.9
